場所,R,馬番,馬名,騎手名,騎手利益度_1,騎手利益度_2,騎手利益度_3,騎手利益度_4,騎手利益度_5,騎手利益度_6,騎手利益度,騎手利益度順位
京都,1,4,スージーハルワ,川端海翼,131.0,-3291.0,79.0,-680.0,-1536.0,532.0,-4765.0,15.0
京都,1,5,セスティーナ,田山旺佑,2812.0,-86.0,3164.0,-1426.0,1861.0,1727.0,8052.0,4.0
京都,1,6,ガイストライヒ,西村淳也,468.0,274.0,-597.0,262.0,138.0,-91.0,454.0,10.0
京都,1,7,サンライズナスカ,藤懸貴志,-386.0,411.0,216.0,592.0,516.0,490.0,1839.0,9.0
京都,1,8,カフジマリボー,柴田裕一,774.0,-2761.0,-1013.0,-4275.0,-4239.0,206.0,-11308.0,16.0
京都,1,9,ガトー,岩田望来,572.0,293.0,-626.0,-35.0,2027.0,-90.0,2141.0,8.0
京都,1,10,リアルフォルツァ,田口貫太,3781.0,1764.0,3716.0,336.0,4255.0,537.0,14389.0,2.0
京都,1,11,バケラッタ,鮫島克駿,436.0,547.0,1757.0,2084.0,1916.0,1200.0,7940.0,5.0
京都,1,12,ダイナソーコー,高杉吏麒,4136.0,3732.0,6715.0,-212.0,8033.0,2185.0,24589.0,1.0
京都,1,13,キングオブストーム,角田大和,1260.0,-372.0,1303.0,1507.0,776.0,891.0,5365.0,7.0
京都,1,14,ブーケ,松若風馬,323.0,1431.0,2613.0,1698.0,2286.0,1610.0,9961.0,3.0
京都,1,15,ハクサンリング,幸英明　,-247.0,-1206.0,-661.0,-485.0,-1598.0,-330.0,-4527.0,14.0
京都,1,16,キタノアンドレイ,古川吉洋,-385.0,603.0,-1063.0,1159.0,516.0,-669.0,161.0,11.0
京都,2,1,スーパーカルメン,田口貫太,3781.0,1764.0,3716.0,3723.0,4255.0,537.0,17776.0,1.0
京都,2,2,ピエナブラック,団野大成,-548.0,-810.0,3031.0,677.0,1582.0,1129.0,5061.0,5.0
京都,2,3,ペプチドレオン,岩田望来,572.0,293.0,-626.0,2117.0,2027.0,-90.0,4293.0,6.0
京都,2,4,ビーアイジーニー,森田誠也,-511.0,-924.0,2818.0,524.0,3519.0,1036.0,6462.0,3.0
京都,2,5,クリコイーコ,城戸義政,-1114.0,-599.0,363.0,-951.0,-692.0,433.0,-2560.0,11.0
京都,2,6,シティプロスパー,酒井学　,645.0,-2118.0,-660.0,-438.0,-801.0,-652.0,-4024.0,13.0
京都,2,7,センリョウヤクシャ,幸英明　,-247.0,-1206.0,-661.0,-2216.0,-1598.0,-330.0,-6258.0,15.0
京都,2,8,メイショウライガ,松山弘平,-508.0,-1217.0,816.0,-968.0,-1567.0,74.0,-3370.0,12.0
京都,2,9,ヴィシュヴァナート,藤懸貴志,-386.0,411.0,216.0,-632.0,516.0,490.0,615.0,9.0
京都,2,10,ライフイズカラフル,鮫島克駿,436.0,547.0,1757.0,-467.0,1916.0,1200.0,5389.0,4.0
京都,2,11,モズプリフォール,菱田裕二,-756.0,-589.0,1730.0,-934.0,283.0,-599.0,-865.0,10.0
京都,2,12,リアライズブライト,浜中俊　,851.0,-27.0,-601.0,467.0,1127.0,-471.0,1346.0,7.0
京都,2,13,ドンラプス,吉村誠之,-297.0,695.0,-3130.0,-1118.0,-3498.0,-1828.0,-9176.0,16.0
京都,2,14,チェカ,松若風馬,323.0,1431.0,2613.0,2696.0,2286.0,1610.0,10959.0,2.0
京都,2,15,ナムラロダン,西村淳也,468.0,274.0,-597.0,424.0,138.0,-91.0,616.0,8.0
京都,2,16,マルモズイルバア,川端海翼,131.0,-3291.0,79.0,-9.0,-1536.0,532.0,-4094.0,14.0
京都,3,1,コールラヴ,岩田望来,572.0,293.0,2328.0,-35.0,2027.0,,5185.0,4.0
京都,3,2,ヴィーラー,菱田裕二,-756.0,-589.0,-2088.0,-138.0,283.0,,-3288.0,12.0
京都,3,3,ルージュソムニウム,幸英明　,-247.0,-1206.0,-1683.0,-485.0,-1598.0,,-5219.0,13.0
京都,3,4,ロッサコメータ,高杉吏麒,4136.0,3732.0,2034.0,-212.0,8033.0,,17723.0,1.0
京都,3,5,エトワールブーケ,岩部純二,,-1416.0,-660.0,-551.0,-401.0,,-3028.0,11.0
京都,3,6,メイショウプレマ,森田誠也,-511.0,-924.0,126.0,3297.0,3519.0,,5507.0,3.0
京都,3,7,タガノプトゥリ,秋山稔樹,-503.0,379.0,1271.0,425.0,896.0,,2468.0,6.0
京都,3,8,ビロングトゥミー,松山弘平,-508.0,-1217.0,-2816.0,-342.0,-1567.0,,-6450.0,14.0
京都,3,9,サンダーバード,浜中俊　,851.0,-27.0,1107.0,183.0,1127.0,,3241.0,5.0
京都,3,10,グリッタードール,田口貫太,3781.0,1764.0,55.0,336.0,4255.0,,10191.0,2.0
京都,3,11,ゲフィオン,吉村誠之,-297.0,695.0,-1276.0,-2477.0,-3498.0,,-6853.0,15.0
京都,3,12,ハヤブササキチャン,西村淳也,468.0,274.0,953.0,262.0,138.0,,2095.0,7.0
京都,3,13,メイショウローゼ,藤懸貴志,-386.0,411.0,152.0,592.0,516.0,,1285.0,8.0
京都,3,14,デュードロップ,国分優作,1103.0,-959.0,-756.0,-1146.0,1046.0,,-712.0,9.0
京都,3,15,ダイチノナポリ,高倉稜　,-845.0,-341.0,-8.0,68.0,326.0,,-800.0,10.0
京都,4,1,アトラクティーボ,坂口智康,120.0,-235.0,,737.0,,,622.0,2.0
京都,4,2,テイエムエメラルド,小野寺祐,137.0,151.0,,-199.0,-158.0,,-69.0,7.0
京都,4,3,ナックエルドラド,伴啓太　,-150.0,24.0,,-303.0,0.0,,-429.0,9.0
