場所,R,馬番,馬名,種牡馬名,種牡馬妙味度_1,種牡馬妙味度_2,種牡馬妙味度_3,種牡馬妙味度_4,種牡馬妙味度_5,種牡馬妙味度_6,種牡馬妙味度_7,種牡馬妙味度_8,種牡馬妙味度,種牡馬妙味度順位
東京,12,3,トリリオンボーイ,マクフィ,102.0,100.0,99.0,93.0,98.0,98.0,,,98.333,12.0
東京,12,4,トモジャミ,ヘニーヒューズ,106.0,100.0,103.0,98.0,101.0,103.0,101.0,,101.714,7.0
東京,12,5,ルークススペイ,ベストウォーリア,96.0,118.0,99.0,91.0,101.0,98.0,,,100.5,10.0
東京,12,6,アグラード,ニューイヤーズデイ,92.0,100.0,100.0,101.0,107.0,88.0,,,98.0,13.0
東京,12,7,ジューンポンポン,マクフィ,102.0,100.0,99.0,103.0,98.0,98.0,106.0,,100.857,9.0
東京,12,8,ベルブリエ,キズナ,106.0,105.0,101.0,103.0,99.0,103.0,100.0,,102.429,6.0
東京,12,9,メラーキ,ハーツクライ,93.0,96.0,98.0,95.0,96.0,95.0,,,95.5,15.0
東京,12,10,フクチャントウメイ,ストロングリターン,101.0,93.0,99.0,89.0,102.0,93.0,,,96.167,14.0
東京,12,11,シホノペルフェット,マジェスティックウォリアー,97.0,111.0,103.0,105.0,100.0,100.0,95.0,,101.571,8.0
東京,12,12,モナコブル,ニューイヤーズデイ,92.0,100.0,100.0,101.0,107.0,100.0,,,100.0,11.0
東京,12,13,ホウオウプレミア,ロードカナロア,101.0,99.0,100.0,102.0,102.0,102.0,112.0,,102.571,5.0
東京,12,14,カネショウレジェン,ダノンレジェンド,115.0,110.0,116.0,110.0,111.0,107.0,105.0,,110.571,1.0
東京,12,15,セイウンマカロン,ホッコータルマエ,108.0,98.0,102.0,93.0,104.0,109.0,110.0,,103.429,4.0
東京,12,16,クインズデネブ,カレンブラックヒル,112.0,104.0,107.0,119.0,105.0,110.0,,,109.5,2.0
京都,1,1,レッドファイブ,ダノンスマッシュ,,,,,,,,,,
京都,1,2,ウルトラハート,ホッコータルマエ,85.0,105.0,102.0,108.0,100.0,98.0,,,99.667,6.0
京都,1,3,メイショウコシュウ,ナダル,92.0,95.0,112.0,97.0,108.0,101.0,78.0,101.0,98.0,7.0
京都,1,4,オラヴィンリンナ,シルバーステート,96.0,92.0,77.0,96.0,97.0,99.0,96.0,87.0,92.5,10.0
