場所,R,馬番,人気,単オッズ,複勝オッズ下,上,単勝,複勝,馬連配当,開催日,推定人気,人気ランク
中京,10,6,5.0,13.4,2.4,3.6,,,,20250105,,
中京,10,7,3.0,5.0,1.6,2.3,,,,20250105,,
中京,10,8,6.0,20.8,4.3,6.8,,,,20250105,,
中京,10,9,15.0,142.0,16.7,26.9,,,,20250105,,
中京,10,10,2.0,4.7,1.6,2.3,470.0,210.0,2520.0,20250105,,
中京,10,11,7.0,23.7,3.8,5.9,,,,20250105,,
中京,10,12,13.0,85.6,12.0,19.2,,,,20250105,,
中京,10,13,16.0,299.0,34.2,55.1,,,,20250105,,
中京,10,14,10.0,41.4,5.4,8.5,,,,20250105,,
中京,10,15,9.0,27.8,3.4,5.2,,,,20250105,,
中京,10,16,11.0,61.5,7.9,12.5,,,,20250105,,
中京,11,1,2.0,5.2,1.8,2.4,,210.0,,20250105,,
中京,11,2,8.0,15.6,4.4,6.3,,,,20250105,,
中京,11,3,11.0,50.0,8.3,11.9,,,,20250105,,
中京,11,4,12.0,63.3,11.2,16.1,,,,20250105,,
中京,11,5,5.0,7.3,2.2,2.9,,,,20250105,,
中京,11,6,10.0,44.5,7.7,11.1,,,,20250105,,
中京,11,7,6.0,12.0,3.3,4.6,1200.0,370.0,4870.0,20250105,,
中京,11,8,13.0,79.4,16.0,23.3,,,,20250105,,
中京,11,9,1.0,3.9,1.5,1.8,,,,20250105,,
中京,11,10,9.0,18.6,4.6,6.6,,,,20250105,,
中京,11,11,16.0,161.8,26.0,37.8,,,,20250105,,
中京,11,12,7.0,12.8,3.2,4.5,,,,20250105,,
中京,11,13,14.0,97.4,13.9,20.2,,,,20250105,,
中京,11,14,15.0,120.6,17.0,24.7,,,,20250105,,
中京,11,15,3.0,6.4,1.9,2.5,,,,20250105,,
中京,11,16,4.0,6.9,2.1,2.9,,240.0,4870.0,20250105,,
中京,12,1,11.0,34.0,5.7,9.2,,,,20250105,,
中京,12,2,6.0,11.3,2.4,3.8,,280.0,,20250105,,
中京,12,3,13.0,91.0,14.8,24.6,,,,20250105,,
中京,12,4,16.0,298.0,43.1,71.5,,,,20250105,,
中京,12,5,12.0,64.5,10.5,17.3,,,,20250105,,
中京,12,6,5.0,11.2,2.5,3.8,1120.0,280.0,2170.0,20250105,,
中京,12,7,2.0,3.4,1.4,1.9,,,,20250105,,
中京,12,8,15.0,273.9,36.2,60.1,,,,20250105,,
中京,12,9,4.0,9.9,2.8,4.4,,,,20250105,,
中京,12,10,1.0,3.4,1.3,1.7,,150.0,2170.0,20250105,,
中京,12,11,3.0,8.4,1.9,2.8,,,,20250105,,
中京,12,12,8.0,17.0,3.1,4.9,,,,20250105,,
中京,12,13,7.0,15.4,3.7,5.9,,,,20250105,,
中京,12,14,14.0,96.6,12.9,21.3,,,,20250105,,
中京,12,15,9.0,21.7,5.7,9.2,,,,20250105,,
中京,12,16,10.0,32.3,5.1,8.2,,,,20250105,,
中山,1,1,2.0,4.4,1.5,2.6,,,,20250106,,
中山,1,2,5.0,10.7,2.1,3.8,,310.0,,20250106,,
中山,1,3,13.0,252.7,30.7,63.0,,,,20250106,,
中山,1,4,3.0,4.7,1.3,2.1,470.0,190.0,3570.0,20250106,,
中山,1,5,6.0,17.9,3.8,7.3,,,,20250106,,
中山,1,6,12.0,227.9,27.8,57.0,,,,20250106,,
中山,1,7,14.0,286.5,28.9,59.2,,,,20250106,,
中山,1,8,10.0,93.5,9.0,18.1,,,,20250106,,
中山,1,9,11.0,213.5,20.5,41.8,,,,20250106,,
中山,1,10,15.0,335.5,35.5,72.9,,,,20250106,,
中山,1,11,9.0,84.2,9.3,18.6,,,,20250106,,
中山,1,12,16.0,425.5,50.6,103.9,,,,20250106,,
中山,1,13,1.0,2.6,1.1,1.2,,,,20250106,,
中山,1,14,8.0,34.7,4.5,8.8,,,,20250106,,
中山,1,15,4.0,6.2,1.6,2.9,,,,20250106,,
中山,1,16,7.0,18.2,3.7,7.2,,560.0,3570.0,20250106,,
中山,2,1,15.0,444.8,32.2,62.2,,,,20250106,,
中山,2,2,9.0,103.2,9.7,18.5,,,,20250106,,
中山,2,3,4.0,5.0,1.3,2.2,,140.0,930.0,20250106,,
中山,2,4,13.0,398.2,36.7,70.8,,,,20250106,,
中山,2,5,8.0,81.4,6.6,12.3,,,,20250106,,
中山,2,6,11.0,308.6,24.5,47.3,,,,20250106,,
中山,2,7,3.0,4.4,1.3,2.1,,140.0,,20250106,,
中山,2,8,2.0,3.4,1.2,1.7,,,,20250106,,
中山,2,9,10.0,199.7,14.8,28.3,,,,20250106,,
中山,2,10,14.0,442.2,31.5,60.8,,,,20250106,,
中山,2,11,7.0,75.1,8.2,15.5,,,,20250106,,
中山,2,12,6.0,37.1,5.4,10.0,,,,20250106,,
中山,2,13,16.0,555.4,39.8,76.8,,,,20250106,,
中山,2,14,12.0,392.4,25.4,49.0,,,,20250106,,
中山,2,15,5.0,26.4,2.6,4.5,,,,20250106,,
中山,2,16,1.0,2.3,1.1,1.5,230.0,120.0,930.0,20250106,,
中山,3,1,13.0,118.9,6.4,19.6,,,,20250106,,
